Time;opctyngrppub01 : Actives;anomalie
10/06/2022 12:00;476;0
10/06/2022 14:00;411;0
10/06/2022 16:00;483;0
10/06/2022 18:00;322;0
10/06/2022 20:00;200;0
10/06/2022 22:00;147;0
11/06/2022 00:00;1447;0
11/06/2022 02:00;6357;0
11/06/2022 04:00;5586;0
11/06/2022 06:00;134;0
11/06/2022 08:00;173;0
11/06/2022 10:00;244;0
11/06/2022 12:00;224;0
11/06/2022 14:00;193;0
11/06/2022 16:00;200;0
11/06/2022 18:00;205;0
11/06/2022 20:00;161;0
11/06/2022 22:00;135;0
12/06/2022 00:00;1437;0
12/06/2022 02:00;6040;0
12/06/2022 04:00;5141;0
12/06/2022 06:00;119;0
12/06/2022 08:00;144;0
12/06/2022 10:00;178;0
12/06/2022 12:00;167;0
12/06/2022 14:00;155;0
12/06/2022 16:00;162;0
12/06/2022 18:00;177;0
12/06/2022 20:00;166;0
12/06/2022 22:00;143;0
13/06/2022 00:00;1440;0
13/06/2022 02:00;6009;0
13/06/2022 04:00;5137;0
13/06/2022 06:00;173;0
13/06/2022 08:00;397;0
13/06/2022 10:00;642;0
13/06/2022 12:00;481;0
13/06/2022 14:00;441;0
13/06/2022 16:00;509;0
13/06/2022 18:00;321;0
13/06/2022 20:00;212;0
13/06/2022 22:00;156;0
14/06/2022 00:00;1659;0
14/06/2022 02:00;6318;0
14/06/2022 04:00;5169;0
14/06/2022 06:00;170;0
14/06/2022 08:00;386;0
14/06/2022 10:00;701;0
14/06/2022 12:00;510;0
14/06/2022 14:00;450;0
14/06/2022 16:00;499;0
14/06/2022 18:00;350;0
14/06/2022 20:00;216;0
14/06/2022 22:00;158;0
15/06/2022 00:00;1494;0
15/06/2022 02:00;13861;1
15/06/2022 04:00;15710;1
15/06/2022 06:00;197;0
15/06/2022 08:00;401;0
15/06/2022 10:00;679;0
15/06/2022 12:00;513;0
15/06/2022 14:00;477;0
15/06/2022 16:00;514;0
15/06/2022 18:00;336;0
15/06/2022 20:00;215;0
15/06/2022 22:00;151;0
16/06/2022 00:00;1447;0
16/06/2022 02:00;6487;0
16/06/2022 04:00;5630;0
16/06/2022 06:00;178;0
16/06/2022 08:00;364;0
16/06/2022 10:00;728;0
16/06/2022 12:00;521;0
16/06/2022 14:00;454;0
16/06/2022 16:00;514;0
16/06/2022 18:00;359;0
16/06/2022 20:00;215;0
16/06/2022 22:00;169;0
17/06/2022 00:00;1449;0
17/06/2022 02:00;6143;0
17/06/2022 04:00;5204;0
17/06/2022 06:00;157;0
17/06/2022 08:00;353;0
17/06/2022 10:00;624;0
17/06/2022 12:00;477;0
17/06/2022 14:00;438;0
17/06/2022 16:00;440;0
17/06/2022 18:00;314;0
17/06/2022 20:00;227;0
17/06/2022 22:00;197;0
18/06/2022 00:00;1488;0
18/06/2022 02:00;6171;0
18/06/2022 04:00;5188;0
18/06/2022 06:00;151;0
18/06/2022 08:00;193;0
18/06/2022 10:00;260;0
18/06/2022 12:00;249;0
18/06/2022 14:00;211;0
18/06/2022 16:00;220;0
18/06/2022 18:00;233;0
18/06/2022 20:00;232;0
18/06/2022 22:00;176;0
19/06/2022 00:00;1497;0
19/06/2022 02:00;6122;0
19/06/2022 04:00;5156;0
19/06/2022 06:00;153;0
19/06/2022 08:00;157;0
19/06/2022 10:00;190;0
19/06/2022 12:00;187;0
19/06/2022 14:00;182;0
19/06/2022 16:00;175;0
19/06/2022 18:00;190;0
19/06/2022 20:00;184;0
19/06/2022 22:00;163;0
20/06/2022 00:00;1463;0
20/06/2022 02:00;6118;0
20/06/2022 04:00;5130;0
20/06/2022 06:00;179;0
20/06/2022 08:00;448;0
20/06/2022 10:00;675;0
20/06/2022 12:00;500;0
20/06/2022 14:00;452;0
20/06/2022 16:00;499;0
20/06/2022 18:00;354;0
20/06/2022 20:00;213;0
20/06/2022 22:00;193;0
21/06/2022 00:00;1483;0
21/06/2022 02:00;6157;0
21/06/2022 04:00;5181;0
21/06/2022 06:00;162;0
21/06/2022 08:00;405;0
21/06/2022 10:00;689;0
21/06/2022 12:00;534;0
21/06/2022 14:00;509;0
21/06/2022 16:00;548;0
21/06/2022 18:00;367;0
21/06/2022 20:00;241;0
21/06/2022 22:00;171;0
22/06/2022 00:00;1492;0
22/06/2022 02:00;6176;0
22/06/2022 04:00;5220;0
22/06/2022 06:00;175;0
22/06/2022 08:00;432;0
22/06/2022 10:00;665;0
22/06/2022 12:00;494;0
22/06/2022 14:00;463;0
22/06/2022 16:00;505;0
22/06/2022 22:00;172;0
23/06/2022 00:00;1473;0
23/06/2022 02:00;6199;0
23/06/2022 04:00;5203;0
23/06/2022 06:00;185;0
23/06/2022 08:00;401;0
23/06/2022 10:00;692;0
23/06/2022 12:00;539;0
23/06/2022 14:00;526;0
